sense	number	antisense	bp
Herpesvirus:Epstein_Barr_Virus:58:+	58	Herpesvirus:Epstein_Barr_Virus:3501:-	2950
Herpesvirus:Epstein_Barr_Virus:59:+	59	Herpesvirus:Epstein_Barr_Virus:3502:-	3000
Herpesvirus:Epstein_Barr_Virus:60:+	60	Herpesvirus:Epstein_Barr_Virus:3503:-	3050
Herpesvirus:Epstein_Barr_Virus:61:+	61	Herpesvirus:Epstein_Barr_Virus:3504:-	3100
Herpesvirus:Epstein_Barr_Virus:62:+	62	Herpesvirus:Epstein_Barr_Virus:3505:-	3150
Herpesvirus:Epstein_Barr_Virus:63:+	63	Herpesvirus:Epstein_Barr_Virus:3506:-	3200
Herpesvirus:Epstein_Barr_Virus:64:+	64	Herpesvirus:Epstein_Barr_Virus:3507:-	3250
Herpesvirus:Epstein_Barr_Virus:65:+	65	Herpesvirus:Epstein_Barr_Virus:3508:-	3300
Herpesvirus:Epstein_Barr_Virus:66:+	66	Herpesvirus:Epstein_Barr_Virus:3509:-	3350
Herpesvirus:Epstein_Barr_Virus:67:+	67	Herpesvirus:Epstein_Barr_Virus:3510:-	3400
Herpesvirus:Epstein_Barr_Virus:68:+	68	Herpesvirus:Epstein_Barr_Virus:3511:-	3450
Herpesvirus:Epstein_Barr_Virus:69:+	69	Herpesvirus:Epstein_Barr_Virus:3512:-	3500
Herpesvirus:Epstein_Barr_Virus:70:+	70	Herpesvirus:Epstein_Barr_Virus:3513:-	3550
Herpesvirus:Epstein_Barr_Virus:71:+	71	Herpesvirus:Epstein_Barr_Virus:3514:-	3600
Herpesvirus:Epstein_Barr_Virus:72:+	72	Herpesvirus:Epstein_Barr_Virus:3515:-	3650
Herpesvirus:Epstein_Barr_Virus:73:+	73	Herpesvirus:Epstein_Barr_Virus:3516:-	3700
Herpesvirus:Epstein_Barr_Virus:74:+	74	Herpesvirus:Epstein_Barr_Virus:3517:-	3750
Herpesvirus:Epstein_Barr_Virus:75:+	75	Herpesvirus:Epstein_Barr_Virus:3518:-	3800
Herpesvirus:Epstein_Barr_Virus:76:+	76	Herpesvirus:Epstein_Barr_Virus:3519:-	3850
Herpesvirus:Epstein_Barr_Virus:77:+	77	Herpesvirus:Epstein_Barr_Virus:3520:-	3900
Herpesvirus:Epstein_Barr_Virus:78:+	78	Herpesvirus:Epstein_Barr_Virus:3521:-	3950
Herpesvirus:Epstein_Barr_Virus:79:+	79	Herpesvirus:Epstein_Barr_Virus:3522:-	4000
Herpesvirus:Epstein_Barr_Virus:80:+	80	Herpesvirus:Epstein_Barr_Virus:3523:-	4050
Herpesvirus:Epstein_Barr_Virus:81:+	81	Herpesvirus:Epstein_Barr_Virus:3524:-	4100
Herpesvirus:Epstein_Barr_Virus:82:+	82	Herpesvirus:Epstein_Barr_Virus:3525:-	4150
Herpesvirus:Epstein_Barr_Virus:83:+	83	Herpesvirus:Epstein_Barr_Virus:3526:-	4200
Herpesvirus:Epstein_Barr_Virus:84:+	84	Herpesvirus:Epstein_Barr_Virus:3527:-	4250
Herpesvirus:Epstein_Barr_Virus:85:+	85	Herpesvirus:Epstein_Barr_Virus:3528:-	4300
Herpesvirus:Epstein_Barr_Virus:86:+	86	Herpesvirus:Epstein_Barr_Virus:3529:-	4350
Herpesvirus:Epstein_Barr_Virus:87:+	87	Herpesvirus:Epstein_Barr_Virus:3530:-	4400
Herpesvirus:Epstein_Barr_Virus:88:+	88	Herpesvirus:Epstein_Barr_Virus:3531:-	4450
Herpesvirus:Epstein_Barr_Virus:89:+	89	Herpesvirus:Epstein_Barr_Virus:3532:-	4500
Herpesvirus:Epstein_Barr_Virus:90:+	90	Herpesvirus:Epstein_Barr_Virus:3533:-	4550
Herpesvirus:Epstein_Barr_Virus:91:+	91	Herpesvirus:Epstein_Barr_Virus:3534:-	4600
Herpesvirus:Epstein_Barr_Virus:92:+	92	Herpesvirus:Epstein_Barr_Virus:3535:-	4650
Herpesvirus:Epstein_Barr_Virus:93:+	93	Herpesvirus:Epstein_Barr_Virus:3536:-	4700
Herpesvirus:Epstein_Barr_Virus:94:+	94	Herpesvirus:Epstein_Barr_Virus:3537:-	4750
Herpesvirus:Epstein_Barr_Virus:95:+	95	Herpesvirus:Epstein_Barr_Virus:3538:-	4800
Herpesvirus:Epstein_Barr_Virus:96:+	96	Herpesvirus:Epstein_Barr_Virus:3539:-	4850
Herpesvirus:Epstein_Barr_Virus:97:+	97	Herpesvirus:Epstein_Barr_Virus:3540:-	4900
Herpesvirus:Epstein_Barr_Virus:98:+	98	Herpesvirus:Epstein_Barr_Virus:3541:-	4950
Herpesvirus:Epstein_Barr_Virus:99:+	99	Herpesvirus:Epstein_Barr_Virus:3542:-	5000
Herpesvirus:Epstein_Barr_Virus:100:+	100	Herpesvirus:Epstein_Barr_Virus:3543:-	5050
Herpesvirus:Epstein_Barr_Virus:101:+	101	Herpesvirus:Epstein_Barr_Virus:3544:-	5100
Herpesvirus:Epstein_Barr_Virus:102:+	102	Herpesvirus:Epstein_Barr_Virus:3545:-	5150
Herpesvirus:Epstein_Barr_Virus:103:+	103	Herpesvirus:Epstein_Barr_Virus:3546:-	5200
Herpesvirus:Epstein_Barr_Virus:104:+	104	Herpesvirus:Epstein_Barr_Virus:3547:-	5250
Herpesvirus:Epstein_Barr_Virus:105:+	105	Herpesvirus:Epstein_Barr_Virus:3548:-	5300
Herpesvirus:Epstein_Barr_Virus:106:+	106	Herpesvirus:Epstein_Barr_Virus:3549:-	5350
Herpesvirus:Epstein_Barr_Virus:107:+	107	Herpesvirus:Epstein_Barr_Virus:3550:-	5400
Herpesvirus:Epstein_Barr_Virus:108:+	108	Herpesvirus:Epstein_Barr_Virus:3551:-	5450
Herpesvirus:Epstein_Barr_Virus:109:+	109	Herpesvirus:Epstein_Barr_Virus:3552:-	5500
Herpesvirus:Epstein_Barr_Virus:110:+	110	Herpesvirus:Epstein_Barr_Virus:3553:-	5550
Herpesvirus:Epstein_Barr_Virus:111:+	111	Herpesvirus:Epstein_Barr_Virus:3554:-	5600
Herpesvirus:Epstein_Barr_Virus:112:+	112	Herpesvirus:Epstein_Barr_Virus:3555:-	5650
Herpesvirus:Epstein_Barr_Virus:113:+	113	Herpesvirus:Epstein_Barr_Virus:3556:-	5700
Herpesvirus:Epstein_Barr_Virus:114:+	114	Herpesvirus:Epstein_Barr_Virus:3557:-	5750
Herpesvirus:Epstein_Barr_Virus:115:+	115	Herpesvirus:Epstein_Barr_Virus:3558:-	5800
Herpesvirus:Epstein_Barr_Virus:116:+	116	Herpesvirus:Epstein_Barr_Virus:3559:-	5850
Herpesvirus:Epstein_Barr_Virus:117:+	117	Herpesvirus:Epstein_Barr_Virus:3560:-	5900
Herpesvirus:Epstein_Barr_Virus:118:+	118	Herpesvirus:Epstein_Barr_Virus:3561:-	5950
Herpesvirus:Epstein_Barr_Virus:119:+	119	Herpesvirus:Epstein_Barr_Virus:3562:-	6000
Herpesvirus:Epstein_Barr_Virus:120:+	120	Herpesvirus:Epstein_Barr_Virus:3563:-	6050
Herpesvirus:Epstein_Barr_Virus:121:+	121	Herpesvirus:Epstein_Barr_Virus:3564:-	6100
Herpesvirus:Epstein_Barr_Virus:122:+	122	Herpesvirus:Epstein_Barr_Virus:3565:-	6150
Herpesvirus:Epstein_Barr_Virus:123:+	123	Herpesvirus:Epstein_Barr_Virus:3566:-	6200
Herpesvirus:Epstein_Barr_Virus:124:+	124	Herpesvirus:Epstein_Barr_Virus:3567:-	6250
Herpesvirus:Epstein_Barr_Virus:125:+	125	Herpesvirus:Epstein_Barr_Virus:3568:-	6300
Herpesvirus:Epstein_Barr_Virus:126:+	126	Herpesvirus:Epstein_Barr_Virus:3569:-	6350
Herpesvirus:Epstein_Barr_Virus:127:+	127	Herpesvirus:Epstein_Barr_Virus:3570:-	6400
Herpesvirus:Epstein_Barr_Virus:128:+	128	Herpesvirus:Epstein_Barr_Virus:3571:-	6450
Herpesvirus:Epstein_Barr_Virus:129:+	129	Herpesvirus:Epstein_Barr_Virus:3572:-	6500
Herpesvirus:Epstein_Barr_Virus:130:+	130	Herpesvirus:Epstein_Barr_Virus:3573:-	6550
Herpesvirus:Epstein_Barr_Virus:131:+	131	Herpesvirus:Epstein_Barr_Virus:3574:-	6600
Herpesvirus:Epstein_Barr_Virus:132:+	132	Herpesvirus:Epstein_Barr_Virus:3575:-	6650
Herpesvirus:Epstein_Barr_Virus:133:+	133	Herpesvirus:Epstein_Barr_Virus:3576:-	6700
Herpesvirus:Epstein_Barr_Virus:134:+	134	Herpesvirus:Epstein_Barr_Virus:3577:-	6750
Herpesvirus:Epstein_Barr_Virus:135:+	135	Herpesvirus:Epstein_Barr_Virus:3578:-	6800
Herpesvirus:Epstein_Barr_Virus:136:+	136	Herpesvirus:Epstein_Barr_Virus:3579:-	6850
Herpesvirus:Epstein_Barr_Virus:137:+	137	Herpesvirus:Epstein_Barr_Virus:3580:-	6900
Herpesvirus:Epstein_Barr_Virus:138:+	138	Herpesvirus:Epstein_Barr_Virus:3581:-	6950
Herpesvirus:Epstein_Barr_Virus:139:+	139	Herpesvirus:Epstein_Barr_Virus:3582:-	7000
Herpesvirus:Epstein_Barr_Virus:140:+	140	Herpesvirus:Epstein_Barr_Virus:3583:-	7050
Herpesvirus:Epstein_Barr_Virus:141:+	141	Herpesvirus:Epstein_Barr_Virus:3584:-	7100
Herpesvirus:Epstein_Barr_Virus:142:+	142	Herpesvirus:Epstein_Barr_Virus:3585:-	7150
Herpesvirus:Epstein_Barr_Virus:143:+	143	Herpesvirus:Epstein_Barr_Virus:3586:-	7200
Herpesvirus:Epstein_Barr_Virus:144:+	144	Herpesvirus:Epstein_Barr_Virus:3587:-	7250
Herpesvirus:Epstein_Barr_Virus:145:+	145	Herpesvirus:Epstein_Barr_Virus:3588:-	7300
Herpesvirus:Epstein_Barr_Virus:146:+	146	Herpesvirus:Epstein_Barr_Virus:3589:-	7350
Herpesvirus:Epstein_Barr_Virus:147:+	147	Herpesvirus:Epstein_Barr_Virus:3590:-	7400
Herpesvirus:Epstein_Barr_Virus:148:+	148	Herpesvirus:Epstein_Barr_Virus:3591:-	7450
Herpesvirus:Epstein_Barr_Virus:149:+	149	Herpesvirus:Epstein_Barr_Virus:3592:-	7500
Herpesvirus:Epstein_Barr_Virus:150:+	150	Herpesvirus:Epstein_Barr_Virus:3593:-	7550
Herpesvirus:Epstein_Barr_Virus:151:+	151	Herpesvirus:Epstein_Barr_Virus:3594:-	7600
Herpesvirus:Epstein_Barr_Virus:152:+	152	Herpesvirus:Epstein_Barr_Virus:3595:-	7650
Herpesvirus:Epstein_Barr_Virus:153:+	153	Herpesvirus:Epstein_Barr_Virus:3596:-	7700
Herpesvirus:Epstein_Barr_Virus:154:+	154	Herpesvirus:Epstein_Barr_Virus:3597:-	7750
Herpesvirus:Epstein_Barr_Virus:155:+	155	Herpesvirus:Epstein_Barr_Virus:3598:-	7800
Herpesvirus:Epstein_Barr_Virus:156:+	156	Herpesvirus:Epstein_Barr_Virus:3599:-	7850
Herpesvirus:Epstein_Barr_Virus:157:+	157	Herpesvirus:Epstein_Barr_Virus:3600:-	7900
Herpesvirus:Epstein_Barr_Virus:158:+	158	Herpesvirus:Epstein_Barr_Virus:3601:-	7950
Herpesvirus:Epstein_Barr_Virus:159:+	159	Herpesvirus:Epstein_Barr_Virus:3602:-	8000
Herpesvirus:Epstein_Barr_Virus:160:+	160	Herpesvirus:Epstein_Barr_Virus:3603:-	8050
Herpesvirus:Epstein_Barr_Virus:161:+	161	Herpesvirus:Epstein_Barr_Virus:3604:-	8100
Herpesvirus:Epstein_Barr_Virus:162:+	162	Herpesvirus:Epstein_Barr_Virus:3605:-	8150
Herpesvirus:Epstein_Barr_Virus:163:+	163	Herpesvirus:Epstein_Barr_Virus:3606:-	8200
Herpesvirus:Epstein_Barr_Virus:164:+	164	Herpesvirus:Epstein_Barr_Virus:3607:-	8250
Herpesvirus:Epstein_Barr_Virus:165:+	165	Herpesvirus:Epstein_Barr_Virus:3608:-	8300
Herpesvirus:Epstein_Barr_Virus:166:+	166	Herpesvirus:Epstein_Barr_Virus:3609:-	8350
Herpesvirus:Epstein_Barr_Virus:167:+	167	Herpesvirus:Epstein_Barr_Virus:3610:-	8400
Herpesvirus:Epstein_Barr_Virus:168:+	168	Herpesvirus:Epstein_Barr_Virus:3611:-	8450
Herpesvirus:Epstein_Barr_Virus:169:+	169	Herpesvirus:Epstein_Barr_Virus:3612:-	8500
Herpesvirus:Epstein_Barr_Virus:170:+	170	Herpesvirus:Epstein_Barr_Virus:3613:-	8550
Herpesvirus:Epstein_Barr_Virus:171:+	171	Herpesvirus:Epstein_Barr_Virus:3614:-	8600
Herpesvirus:Epstein_Barr_Virus:172:+	172	Herpesvirus:Epstein_Barr_Virus:3615:-	8650
Herpesvirus:Epstein_Barr_Virus:173:+	173	Herpesvirus:Epstein_Barr_Virus:3616:-	8700
Herpesvirus:Epstein_Barr_Virus:174:+	174	Herpesvirus:Epstein_Barr_Virus:3617:-	8750
Herpesvirus:Epstein_Barr_Virus:175:+	175	Herpesvirus:Epstein_Barr_Virus:3618:-	8800
Herpesvirus:Epstein_Barr_Virus:176:+	176	Herpesvirus:Epstein_Barr_Virus:3619:-	8850
Herpesvirus:Epstein_Barr_Virus:177:+	177	Herpesvirus:Epstein_Barr_Virus:3620:-	8900
Herpesvirus:Epstein_Barr_Virus:178:+	178	Herpesvirus:Epstein_Barr_Virus:3621:-	8950
Herpesvirus:Epstein_Barr_Virus:179:+	179	Herpesvirus:Epstein_Barr_Virus:3622:-	9000
Herpesvirus:Epstein_Barr_Virus:180:+	180	Herpesvirus:Epstein_Barr_Virus:3623:-	9050
Herpesvirus:Epstein_Barr_Virus:181:+	181	Herpesvirus:Epstein_Barr_Virus:3624:-	9100
Herpesvirus:Epstein_Barr_Virus:182:+	182	Herpesvirus:Epstein_Barr_Virus:3625:-	9150
Herpesvirus:Epstein_Barr_Virus:183:+	183	Herpesvirus:Epstein_Barr_Virus:3626:-	9200
Herpesvirus:Epstein_Barr_Virus:184:+	184	Herpesvirus:Epstein_Barr_Virus:3627:-	9250
Herpesvirus:Epstein_Barr_Virus:185:+	185	Herpesvirus:Epstein_Barr_Virus:3628:-	9300
Herpesvirus:Epstein_Barr_Virus:186:+	186	Herpesvirus:Epstein_Barr_Virus:3629:-	9350
Herpesvirus:Epstein_Barr_Virus:187:+	187	Herpesvirus:Epstein_Barr_Virus:3630:-	9400
Herpesvirus:Epstein_Barr_Virus:188:+	188	Herpesvirus:Epstein_Barr_Virus:3631:-	9450
Herpesvirus:Epstein_Barr_Virus:189:+	189	Herpesvirus:Epstein_Barr_Virus:3632:-	9500
Herpesvirus:Epstein_Barr_Virus:190:+	190	Herpesvirus:Epstein_Barr_Virus:3633:-	9550
Herpesvirus:Epstein_Barr_Virus:191:+	191	Herpesvirus:Epstein_Barr_Virus:3634:-	9600
Herpesvirus:Epstein_Barr_Virus:192:+	192	Herpesvirus:Epstein_Barr_Virus:3635:-	9650
Herpesvirus:Epstein_Barr_Virus:193:+	193	Herpesvirus:Epstein_Barr_Virus:3636:-	9700
Herpesvirus:Epstein_Barr_Virus:194:+	194	Herpesvirus:Epstein_Barr_Virus:3637:-	9750
Herpesvirus:Epstein_Barr_Virus:195:+	195	Herpesvirus:Epstein_Barr_Virus:3638:-	9800
Herpesvirus:Epstein_Barr_Virus:196:+	196	Herpesvirus:Epstein_Barr_Virus:3639:-	9850
Herpesvirus:Epstein_Barr_Virus:197:+	197	Herpesvirus:Epstein_Barr_Virus:3640:-	9900
Herpesvirus:Epstein_Barr_Virus:198:+	198	Herpesvirus:Epstein_Barr_Virus:3641:-	9950
Herpesvirus:Epstein_Barr_Virus:199:+	199	Herpesvirus:Epstein_Barr_Virus:3642:-	10000
Herpesvirus:Epstein_Barr_Virus:200:+	200	Herpesvirus:Epstein_Barr_Virus:3643:-	10050
Herpesvirus:Epstein_Barr_Virus:201:+	201	Herpesvirus:Epstein_Barr_Virus:3644:-	10100
